,Town,Latitude,Longitude,geometry,lc_dev_0,lc_dev_1,lc_dev_2,lc_dev_3,lc_is_water/wetland,lc_is_forest/shrub,lc_is_grass/crop,tcc,pop20_density
46,CHESTERFIELD,904915.291092912,89287.96311392296,POINT (89287.96311392296 904915.291092912),0,1,0,0,0,0,0,43,0.1465598981903494
47,MONTGOMERY,885132.7292906278,90977.0640386463,POINT (90977.0640386463 885132.7292906278),0,0,0,0,0,1,0,87,0.20986996230412985
48,HEATH,938495.7446951158,91813.70587695748,POINT (91813.70587695748 938495.7446951158),0,0,0,0,0,1,0,82,0.11140880457671828
49,GOSHEN,911040.619445435,92520.520113803,POINT (92520.520113803 911040.619445435),0,0,0,0,0,1,0,83,0.20943592917363374
50,ASHFIELD,919669.2654931528,92641.6668190012,POINT (92641.6668190012 919669.2654931528),1,0,0,0,0,0,0,0,0.19252587340390376
51,SOUTHWICK,867905.6426223916,94168.38187556616,POINT (94168.38187556616 867905.6426223916),0,0,0,0,0,1,0,80,0.8969906963082753
52,BUCKLAND,927590.7003629896,94285.53842663905,POINT (94285.53842663905 927590.7003629896),0,0,0,0,0,0,1,0,0.20205254317011356
53,WESTHAMPTON,896283.4726993965,94604.38505797288,POINT (94604.38505797288 896283.4726993965),0,0,0,0,0,1,0,85,0.22889717399353401
54,WESTFIELD,877182.7946535981,96163.41687758402,POINT (96163.41687758402 877182.7946535981),0,1,0,0,0,0,0,58,11.033634922879546
55,SOUTHAMPTON,887450.8679246048,97761.94549575828,POINT (97761.94549575828 887450.8679246048),0,0,0,0,0,1,0,88,0.5312199469288208
56,WILLIAMSBURG,906496.7891182116,98783.0404973439,POINT (98783.0404973439 906496.7891182116),0,0,0,0,0,1,0,89,0.2130282496536317
57,COLRAIN,937686.2708187032,100273.9745135221,POINT (100273.9745135221 937686.2708187032),0,0,0,0,0,1,0,87,0.16098594488000745
58,CONWAY,918211.891677539,100851.1938330836,POINT (100851.1938330836 918211.891677539),0,0,0,0,0,1,0,49,0.17950807591708434
59,SHELBURNE,928772.1557864356,102889.6141984973,POINT (102889.6141984973 928772.1557864356),0,0,0,0,0,1,0,92,0.17991909554781163
60,NORTHAMPTON,898016.0878558549,103194.5899724915,POINT (103194.5899724915 898016.0878558549),1,0,0,0,0,0,0,79,5.968427313959404
61,EASTHAMPTON,891182.7399606938,103304.96305743395,POINT (103304.96305743395 891182.7399606938),1,0,0,0,0,0,0,81,12.93404384655951
62,AGAWAM,869014.2621488129,104614.5364754801,POINT (104614.5364754801 869014.2621488129),0,0,0,0,0,1,0,78,3.3125333998421396
63,WEST SPRINGFIELD,875629.9041008282,104895.56646996948,POINT (104895.56646996948 875629.9041008282),0,0,0,1,0,0,0,0,6.516426467173183
64,HOLYOKE,885302.9754860147,105778.65566685404,POINT (105778.65566685404 885302.9754860147),0,1,0,0,0,0,0,36,15.764415006903524
65,WHATELY,910387.8516589062,105842.89086339997,POINT (105842.89086339997 910387.8516589062),1,0,0,0,0,0,0,79,0.30022289772036853
66,HATFIELD,904763.039612785,107635.12099995468,POINT (107635.12099995468 904763.039612785),0,0,0,0,0,0,1,16,0.508359199186231
